"Name","Color","Rarity","# GIH","GIH WR"
"Rustvine Cultivator","G","C","78329","55.7%"
"Ruthless Predation","G","C","79478","56.0%"
"Sawblade Scamp","R","C","57031","53.4%"
"Scheming Aspirant","B","U","14405","51.4%"
"Seachrome Coast","","R","2949","52.3%"
"Serum Snare","U","U","21113","53.3%"
"Serum-Core Chimera","UR","U","19271","52.0%"
"Sheoldred's Edict","B","U","12531","54.5%"
"Sheoldred's Headcleaver","B","C","32958","52.7%"
"Sheoldred, the Apocalypse","B","M","2803","65.4%"
"Shrapnel Slinger","R","C","59778","54.8%"
"Sinew Dancer","W","C","39670","54.4%"
"Skrelv's Hive","W","R","9108","57.0%"
"Skrelv, Defector Mite","W","R","8919","57.3%"
"Skyscythe Engulfer","G","C","14470","53.2%"
"Slaughter Singer","WG","U","19448","58.5%"
"Slobad, Iron Goblin","R","R","3110","52.9%"
"Solphim, Mayhem Dominus","R","M","4793","58.6%"
"Soulless Jailer","","R","533","41.1%"
"Staff of Compleation","","M","490","41.8%"
"Stinging Hivemaster","B","C","54958","55.0%"
"Surgical Skullbomb","","C","56476","54.1%"
"Swooping Lookout","W","U","22295","58.1%"
"Sword of Forge and Frontier","","M","5805","59.0%"
"Sylvok Battle-Chair","G","U","23101","56.5%"
"Tablet of Compleation","","R","3619","48.5%"
"Tainted Observer","UG","U","11863","51.4%"
"Tamiyo's Immobilizer","U","U","28653","54.5%"
"Tamiyo's Logbook","U","U","4947","45.3%"
"Tekuthal, Inquiry Dominus","U","M","3893","54.9%"
"Terramorphic Expanse","","C","83417","53.2%"
"Testament Bearer","B","C","23259","54.4%"
"The Autonomous Furnace","","C","67954","54.1%"
"The Dross Pits","","C","43450","52.3%"
"The Eternal Wanderer","W","R","10747","64.9%"
"The Fair Basilica","","C","56942","54.2%"
"The Filigree Sylex","","R","6368","54.7%"
"The Hunter Maze","","C","59269","52.9%"
"The Monumental Facade","","R","5167","53.5%"
"The Mycosynth Gardens","","R","5948","51.4%"
"The Seedcore","","R","7364","54.1%"
"The Surgical Bay","","C","41977","51.4%"
"Thirsting Roots","G","C","23687","48.9%"
"Thrill of Possibility","R","C","12729","49.8%"
"Thrummingbird","U","U","16883","50.3%"
"Thrun, Breaker of Silence","G","R","10360","61.9%"
"Titanic Growth","G","C","30564","55.2%"
"Transplant Theorist","U","U","11969","52.3%"
"Trawler Drake","U","U","23570","52.9%"
"Tyrranax Atrocity","G","C","31863","53.6%"
"Tyrranax Rex","G","M","4163","59.6%"
"Tyvar's Stand","G","U","29198","57.1%"
"Tyvar, Jubilant Brawler","BG","R","1440","49.3%"
"Unctus's Retrofitter","U","U","26176","58.0%"
"Unctus, Grand Metatect","U","R","8791","58.0%"
"Unnatural Restoration","G","U","10493","50.2%"
"Urabrask's Anointer","R","U","30901","56.4%"
